,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.0256,0.7,0.0,0.1429,0.3333,0.125,0.1905,0.9412,1.0,0.2941,0.0,0.0
1,0.1282,1.0,0.0,0.2857,1.0,1.0,0.5833,0.6471,0.1143,0.6471,0.3636,0.0
2,0.1282,0.8,0.0714,0.2245,0.8182,0.375,0.4286,0.7059,0.2857,0.5588,0.3636,0.0
3,1.0,0.0,1.0,0.1429,0.303,0.5,0.5,1.0,0.0,0.3529,0.3636,0.5
4,0.0256,0.7,0.0,0.1429,0.3333,0.125,0.1905,0.9412,1.0,0.2941,0.0,0.0
5,0.0256,0.6333,0.0,0.1224,0.303,0.25,0.2619,0.9412,1.0,0.2941,0.0,0.0
6,0.1538,0.5333,0.1071,0.0816,0.1212,0.375,0.4881,0.5294,0.4,0.0,0.0,0.0
7,0.0,0.6167,0.0,0.0,0.0,0.375,0.0357,0.0,0.6571,0.0294,0.5455,1.0
8,0.1282,0.5,0.0357,0.1633,0.2424,0.0,0.0,0.6471,0.5714,0.3235,0.0909,1.0
9,0.0513,0.3667,0.6429,1.0,0.1818,0.5,1.0,0.9412,0.5429,1.0,1.0,0.0
